"USER_ID","Predictions"
2,"Democrat"
3,"Republican"
6,"Republican"
7,"Democrat"
14,"Democrat"
28,"Republican"
29,"Democrat"
37,"Republican"
44,"Democrat"
56,"Republican"
62,"Democrat"
68,"Republican"
72,"Republican"
74,"Democrat"
80,"Republican"
81,"Republican"
87,"Democrat"
92,"Republican"
96,"Democrat"
100,"Democrat"
104,"Democrat"
105,"Republican"
108,"Democrat"
124,"Republican"
125,"Democrat"
127,"Democrat"
128,"Democrat"
129,"Republican"
130,"Republican"
139,"Republican"
149,"Democrat"
151,"Democrat"
154,"Democrat"
158,"Democrat"
159,"Republican"
168,"Republican"
177,"Democrat"
185,"Republican"
192,"Democrat"
195,"Republican"
198,"Democrat"
208,"Republican"
209,"Republican"
213,"Republican"
225,"Republican"
229,"Democrat"
231,"Democrat"
236,"Republican"
238,"Republican"
239,"Democrat"
240,"Republican"
244,"Republican"
259,"Democrat"
260,"Democrat"
264,"Republican"
267,"Republican"
268,"Democrat"
271,"Republican"
272,"Republican"
274,"Republican"
285,"Democrat"
286,"Republican"
296,"Democrat"
308,"Democrat"
310,"Democrat"
318,"Republican"
333,"Democrat"
340,"Republican"
342,"Democrat"
343,"Democrat"
344,"Republican"
345,"Democrat"
346,"Republican"
352,"Republican"
354,"Republican"
357,"Democrat"
366,"Democrat"
369,"Republican"
380,"Republican"
389,"Democrat"
391,"Republican"
394,"Democrat"
396,"Republican"
404,"Democrat"
407,"Republican"
422,"Republican"
426,"Democrat"
428,"Democrat"
429,"Republican"
438,"Republican"
452,"Democrat"
462,"Republican"
469,"Democrat"
480,"Democrat"
488,"Democrat"
489,"Democrat"
492,"Democrat"
498,"Democrat"
505,"Republican"
508,"Republican"
510,"Democrat"
511,"Republican"
512,"Democrat"
518,"Republican"
519,"Republican"
522,"Democrat"
523,"Democrat"
528,"Democrat"
530,"Democrat"
543,"Republican"
549,"Democrat"
553,"Democrat"
556,"Democrat"
558,"Democrat"
562,"Republican"
563,"Republican"
565,"Republican"
567,"Democrat"
571,"Democrat"
572,"Democrat"
581,"Democrat"
584,"Democrat"
600,"Democrat"
611,"Republican"
617,"Democrat"
635,"Republican"
642,"Republican"
646,"Democrat"
648,"Democrat"
651,"Democrat"
659,"Democrat"
661,"Democrat"
